id,id_presupuesto,estado_actual_id,id_empleado,kilometraje_inicial,combustible_inicial,vehiculo_id,cliente_id,fecha_ingreso,fecha_promesa,fecha_entrega,prioridad,motivo_ingreso,tipo_trabajo,updated_at,created_at,fecha_estacionamiento,fecha_termino_estacionamiento,origen_ingreso,diagnostico,trae_documentos,trae_llaves,trae_candado_seguridad,trae_panel_radio,trae_rueda_repuesto,trae_encendedor,numero_folio,id_taller,activa,pagado,id_deuda
15,19,6,dd424484-ce81-4880-8918-808149911b70,42613,4,20,19,2026-02-17 11:05:00,2026-02-18,,2,"VEHÍCULO PRESENTA CHOQUES EN LA PARTE DELANTERA, SE DEBE DESARROLLAR EL CAPÓ Y REPARAR EL FOCO DELANTERO DERECHO YA QUE TIENE UNA TRIZADURA EN SU ESQUINA, ADEMÁS, SE DEBE PINTAR EL CAPÓ COMPLETO TANTO POR LA PARTE EXTERIOR COMO LA PARTE INTERIOR",Reparación de carroceria,2026-02-17 14:11:31.973804,2026-02-17 14:03:07.098352,,,cliente,"Capota abollado, se debe reparar y foco delantero derecho trizado",true,true,,true,true,true,19,1,true,false,8
16,684,7,dd424484-ce81-4880-8918-808149911b70,,,21,20,,,2026-02-17 15:10:09.787792,,FALLA EN EL DAMPER DE MOTOR,,2026-02-17 15:10:09.787792,2026-02-17 15:09:42.204086,,,,,,,,,,,684,,true,false,7
17,685,1,,,,23,22,,,,,CAMBIO DE KIT DE DISTRIBUCIÓN Y EMBRAGUE,,2026-02-17 15:24:25.20284,2026-02-17 15:24:24.829581,,,,,,,,,,,685,,true,false,
18,686,1,,,,24,19,,,,,MANTENCION,,2026-02-17 15:34:01.515144,2026-02-17 15:34:01.218893,,,,,,,,,,,686,,true,false,
19,687,6,03647a5d-ca10-4eaa-b9d4-f8889aa0cdd3,222090,89,25,23,2026-02-17 12:48:00,2026-02-18,,2,MANTENCION Y ALZAVIDRIO PILOTO,"Mantencion 1000km ",2026-02-18 18:10:10.808137,2026-02-17 15:47:29.281336,,,cliente,"Mantencion ",true,true,,true,true,,687,1,true,false,
20,688,7,22ace850-7561-424d-aab7-564ccd612a12,,50,26,19,2026-02-17 13:02:00,2026-02-17,2026-02-18 18:29:56.967174,2,PROBLEMAS CON DPF,eliminación dpf,2026-02-18 18:29:56.967174,2026-02-17 16:02:29.762156,,,cliente,saturacion dpf se limita y se apaga,true,true,true,true,,,688,1,true,false,8
21,689,1,,,,27,24,,,,,MANTENCIÓN CAJA CVT,,2026-02-17 17:48:52.280846,2026-02-17 17:48:51.960274,,,,,,,,,,,689,,true,false,
22,690,1,,,,28,25,,,,,CAMBIO KIT DE EMBRAGUE,,2026-02-17 19:05:23.654676,2026-02-17 19:05:23.054974,,,,,,,,,,,690,,true,false,
23,691,1,,,,29,26,,,,,"CHOQUE ",,2026-02-18 16:09:11.994962,2026-02-18 16:09:11.691238,,,,,,,,,,,691,,true,false,
24,692,1,,,,30,27,,,,,CAMBIO KIT DE EMBRAGUE,,2026-02-18 17:29:39.594582,2026-02-18 17:29:39.329993,,,,,,,,,,,692,,true,false,
25,693,7,dd424484-ce81-4880-8918-808149911b70,,,31,28,,,2026-02-18 18:26:30.360651,,"NO ENCENDIA, PROBLEMAS DE CULATA",,2026-02-18 18:26:30.360651,2026-02-18 17:43:57.604431,,,,,,,,,,,693,,true,false,
26,694,10,433fab12-b4c4-42e2-877d-87ec95a95363,,,32,29,,,,,MANTENCION POST AJUSTE DE MOTOR,,2026-02-18 18:16:47.385694,2026-02-18 18:14:02.3103,,,,,,,,,,,694,,true,false,
27,695,7,dd424484-ce81-4880-8918-808149911b70,,,33,30,,,2026-02-18 18:26:39.513499,,CORTE DE CORREA DE ACCESORIOS,,2026-02-18 18:26:39.513499,2026-02-18 18:19:31.043778,,,,,,,,,,,695,,true,false,
28,696,10,433fab12-b4c4-42e2-877d-87ec95a95363,,,34,19,,,,,DIAGNÓSTICO CHECK ENCENDIDO,,2026-02-18 19:32:10.153503,2026-02-18 19:31:56.206279,,,,,,,,,,,696,,true,false,
29,697,11,03647a5d-ca10-4eaa-b9d4-f8889aa0cdd3,,,35,19,2026-02-19 09:29:27,,,,PROBLEMAS TREN DELANTERO,,2026-02-19 12:51:37.975136,2026-02-18 19:43:08.267258,,,,,,,,,,,697,,true,false,
30,698,3,22ace850-7561-424d-aab7-564ccd612a12,1997794,17,36,31,2026-02-17 11:30:00,2026-02-20,,2,"FUGA EN RADIADOR, FUGA EN MOTOR, Y PINTURA","cambio de radiador ",2026-02-18 20:09:56.466642,2026-02-18 19:57:22.661418,,,cliente,"fuga en el radiador, reparado con pegamento ",true,true,,true,true,,698,1,true,false,
31,699,3,03647a5d-ca10-4eaa-b9d4-f8889aa0cdd3,217599,47,37,32,2026-02-19 09:52:00,2026-02-20,,2,"PALANCA DE CAMBIOS CON JUEGO, KIT DE EMBRAGUE MALO","Revisión de piolas y cambio de embrague ",2026-02-19 12:58:48.339405,2026-02-19 12:51:35.119998,,,cliente,No selecciona marchas piolas posiblemente sueltas o cortadas,true,true,,true,false,,699,1,true,false,
32,700,1,,,,38,33,,,,,CAMBIO KIT DE EMBRAGUE,,2026-02-19 12:54:41.792028,2026-02-19 12:54:41.48699,,,,,,,,,,,700,,true,false,
33,701,1,,,,,,,,,,PATINA EL EMBRAGUE,,2026-02-19 13:41:52.925493,2026-02-19 13:41:52.681088,,,,,,,,,,,701,,true,false,
