id,id_cliente,id_vehiculo,created_at,subtotal,descuento,total_neto,iva,total_final,diagnostico,updated_at,numero_folio,vencimiento,estado,id_cuenta,editado
19,19,20,2026-02-17 13:50:08.53468+00,315000.00,0.00,315000.00,59850.00,374850.00,"VEHÍCULO PRESENTA CHOQUES EN LA PARTE DELANTERA, SE DEBE DESARROLLAR EL CAPÓ Y REPARAR EL FOCO DELANTERO DERECHO YA QUE TIENE UNA TRIZADURA EN SU ESQUINA, ADEMÁS, SE DEBE PINTAR EL CAPÓ COMPLETO TANTO POR LA PARTE EXTERIOR COMO LA PARTE INTERIOR",2026-02-17 14:03:02.336,19,2026-03-03,2,3,false
684,20,21,2026-02-17 15:08:00.463174+00,579490.00,0.00,579490.00,0.00,579490.00,FALLA EN EL DAMPER DE MOTOR,2026-02-17 15:09:38.197,684,2026-03-03,2,3,false
685,22,23,2026-02-17 15:24:12.959993+00,305000.00,0.00,305000.00,57950.00,362950.00,CAMBIO DE KIT DE DISTRIBUCIÓN Y EMBRAGUE,2026-02-17 15:24:20.706,685,2026-03-03,2,3,false
686,19,24,2026-02-17 15:33:46.844409+00,242730.00,0.00,242730.00,46118.70,288848.70,MANTENCION,2026-02-17 15:33:56.519,686,2026-03-03,2,3,false
687,23,25,2026-02-17 15:47:07.789822+00,86000.00,0.00,86000.00,16340.00,102340.00,MANTENCION Y ALZAVIDRIO PILOTO,2026-02-17 15:47:24.037,687,2026-03-03,2,3,false
688,19,26,2026-02-17 16:02:19.108875+00,380000.00,0.00,380000.00,72200.00,452200.00,PROBLEMAS CON DPF,2026-02-17 16:02:24.195,688,2026-03-03,2,3,false
689,24,27,2026-02-17 17:48:43.594893+00,332540.00,0.00,332540.00,63182.60,395722.60,MANTENCIÓN CAJA CVT,2026-02-17 17:48:48.204,689,2026-03-03,2,3,false
690,25,28,2026-02-17 19:05:13.61101+00,277560.00,0.00,277560.00,52736.40,330296.40,CAMBIO KIT DE EMBRAGUE,2026-02-17 19:05:18.496,690,2026-03-03,2,3,false
691,26,29,2026-02-18 16:09:01.344934+00,85500.00,0.00,85500.00,16245.00,101745.00,"CHOQUE ",2026-02-18 16:09:07.175,691,2026-03-04,2,3,false
692,27,30,2026-02-18 17:29:30.754958+00,470590.00,0.00,470590.00,89412.10,560002.10,CAMBIO KIT DE EMBRAGUE,2026-02-18 17:29:34.701,692,2026-03-04,2,3,false
693,28,31,2026-02-18 17:43:49.440154+00,977115.00,0.00,977115.00,185651.85,1162766.85,"NO ENCENDIA, PROBLEMAS DE CULATA",2026-02-18 17:43:54.156,693,2026-03-04,2,3,false
694,29,32,2026-02-18 18:13:53.528713+00,655330.00,0.00,655330.00,124512.70,779842.70,MANTENCION POST AJUSTE DE MOTOR,2026-02-18 18:13:59.137,694,2026-03-04,2,3,false
695,30,33,2026-02-18 18:19:20.943678+00,87881.00,0.00,87881.00,16697.39,104578.39,CORTE DE CORREA DE ACCESORIOS,2026-02-18 19:52:27.82,695,2026-03-04,2,3,false
696,19,34,2026-02-18 19:31:42.07407+00,45000.00,0.00,45000.00,8550.00,53550.00,DIAGNÓSTICO CHECK ENCENDIDO,2026-02-18 19:31:48.515,696,2026-03-04,2,3,false
697,19,35,2026-02-18 19:42:43.364+00,647950.00,0.00,647950.00,123110.50,771060.50,PROBLEMAS TREN DELANTERO,2026-02-18 19:43:01.889,697,2026-03-04,2,3,false
698,31,36,2026-02-18 19:57:10.635818+00,210950.00,0.00,210950.00,40080.50,251030.50,"FUGA EN RADIADOR, FUGA EN MOTOR, Y PINTURA",2026-02-18 19:57:16.365,698,2026-03-04,2,3,false
699,32,37,2026-02-19 12:51:27.039296+00,363660.00,0.00,363660.00,69095.40,432755.40,"PALANCA DE CAMBIOS CON JUEGO, KIT DE EMBRAGUE MALO",2026-02-19 12:51:31.652,699,2026-03-05,2,3,false
700,33,38,2026-02-19 12:54:28.356858+00,263670.00,0.00,263670.00,50097.30,313767.30,CAMBIO KIT DE EMBRAGUE,2026-02-19 12:54:38.566,700,2026-03-05,2,3,false
701,,,2026-02-19 13:41:43.587847+00,314560.00,0.00,314560.00,59766.40,374326.40,PATINA EL EMBRAGUE,2026-02-19 13:41:49.008,701,2026-03-05,2,3,false
