id,nombre,precio,activo
1,ALINEACIÓN,25000.00,true
2,CAMBIO BOMBA DE AGUA,45000.00,true
3,CAMBIO DE ACEITE,10000.00,true
4,CAMBIO DE ACEITE DE CAJA,95000.00,true
5,CAMBIO DE ACEITE DE TRANSMISION,115000.00,true
6,CAMBIO DE ACEITE Y FILTRO,16200.00,true
7,CAMBIO DE AMORTIGUADORES,55000.00,true
8,CAMBIO DE AMORTIGUADORES DELANTEROS,40000.00,true
9,CAMBIO DE AMORTIGUADORES Y CAZOLETAS,85000.00,true
10,CAMBIO DE AMPOLLETAS,25000.00,true
11,CAMBIO DE BALATAS DE FRENO,25000.00,true
12,CAMBIO DE BALATAS TRASERAS,18500.00,true
13,CAMBIO DE BANDEJAS,30000.00,true
14,CAMBIO DE BOMBA DE AGUA,200000.00,true
15,CAMBIO DE BOMBA DE COMBUSTIBLE,30000.00,true
16,CAMBIO DE BUJIAS,10000.00,true
17,CAMBIO DE BUJIAS Y BOBINA,55000.00,true
18,CAMBIO DE CONDENSADOR,75000.00,true
19,CAMBIO DE CORREA DE ACCESORIOS,20000.00,true
20,CAMBIO DE EMPAQUETADURA,35000.00,true
21,CAMBIO DE FILTRO DE COMBUSTIBLE,18500.00,true
22,CAMBIO DE FILTRO DE PETROLEO,15000.00,true
23,CAMBIO DE FILTROS DE AIRE,15000.00,true
24,CAMBIO DE KIT DE DISTRIBUCION,115000.00,true
25,CAMBIO DE LIQUIDO DE FRENOS,35000.00,true
26,CAMBIO DE MOTOR,800000.00,true
27,CAMBIO DE PASTILLAS DELANTERAS,18500.00,true
28,CAMBIO DE PASTILLAS TRASERAS,18500.00,true
29,CAMBIO DE RADIADOR,45000.00,true
30,CAMBIO DE REFRIGERANTE,20000.00,true
31,CAMBIO DE RETEN DE PUNTA Y COLA CIGÜEÑAL,20000.00,true
32,CAMBIO DE SOPORTE DE MOTOR,35000.00,true
33,CAMBIO DE TERMINAL Y AXIAL,65000.00,true
34,CAMBIO DE TERMOSTATO,20000.00,true
35,CAMBIO DE VALVULA,35000.00,true
36,CAMBIO EMPAQUETADURA TAPA VALVULA,25000.00,true
37,CAMBIO KIT DE DISTRIBUCION,115000.00,true
38,CAMBIO KIT DE EMBRAGUE,150000.00,true
39,CAMBIO KIT DE EMBRAGUE Y VOLANTE DE INERCIA,275000.00,true
40,CAMBIO SOPORTE DE MOTOR,30000.00,true
41,DIAGNOSTICO A/C,25000.00,true
42,DIAGNOSTICO DE FUGAS,45000.00,true
43,DIAGNOSTICOS SENSORES MALOS,65000.00,true
44,INSPECCION DE PASTILLAS Y TRENES DE FUERZA,40000.00,true
45,LAVADO DE MOTOR,25000.00,true
46,LAVADO EXTERIOR Y LIMPIEZA DE MOTOR,18500.00,true
47,MANO DE OBRA,150000.00,true
48,MANO DE OBRA CAMBIO DE ACEITE,20000.00,true
49,MANO DE OBRA CAMBIO DE MOTOR,500000.00,true
50,MANO DE OBRA CAMBIO DE VALVULA,50000.00,true
51,MANO DE OBRA CAMBIO KIT DE EMBRAGUE,180000.00,true
52,MANO DE OBRA CAMBIO KIT DISTRIBUCION,120000.00,true
53,MANO DE OBRA CAMBIO SOPORTE,45000.00,true
54,MANO DE OBRA MANTENCION,55000.00,true
55,MANO DE OBRA MANTENIMIENTO,200000.00,true
56,MANO DE OBRA POR CAMBIO DE MOTOR,600000.00,true
57,MANO DE OBRA POR MANTENCION,50000.00,true
58,MANO DE OBRA POR REPARACION DE FUGA DE ACEITE,180000.00,true
59,MANO DE OBRA POR TODO,242500.00,true
60,MANO DE OBRA SACAR E INSTALAR ALTERNADOR,60000.00,true
61,MANO DE OBRA TAPA DE TERMOSTATO,27500.00,true
62,MANTENCION DE FRENOS,10000.00,true
63,MANTENCION DE MOTOR,55000.00,true
64,RECTIFICADO DE CULATA,180000.00,true
65,RECTIFICADO DE DISCOS DELANTEROS Y TRASEROS,15000.00,true
66,RECTIFICADO DE TAMBORES,25000.00,true
67,RECTIFICADORA DE CULATA,180000.00,true
68,REGULACION DE TURBO,80000.00,true
69,REPARACION DE ALTERNADOR,180000.00,true
70,REPARACION DE CAJA,150000.00,true
71,REPARACION DE MOTOR DE ARRANQUE,83500.00,true
72,REPARACION DE TRANSMISION,400000.00,true
73,REPARACION PORTALON TRASERO,98500.00,true
74,REVISION ALZAVIDRIOS,10000.00,true
75,REVISION Y MANTENIMIMIENTO DE FRENOS (NO INCLUYE PASTILLAS),12500.00,true
76,"REVISION, MANTENCION FRENOS Y CAMBIO DE PASTILLAS DE FRENOS",25000.00,true
77,ROTACION DE NEUMATICOS,20000.00,true
78,SACAR Y COLOCAR ALTERNADOR,60000.00,true
79,SACAR Y COLOCAR MOTOR DE ARRANQUE,65000.00,true
