id,id_cliente,patente,marca,modelo,cilindrada,ano,en_taller
20,19,SRRT13,RENAULT,EXPRESS,,,true
21,20,FGHH40,SSANGYONG,ACTYON SPORT,,,false
22,21,ASDASD,ASDASD,ASDASDAS,,,false
23,22,UB6541,SUZUKI,GRAND VITARA,,,false
24,19,LZPZ24,CITROEN,BERLINGO,,,false
25,23,HXKR96,PEUGUEOT,208,,,false
26,19,LZPZ14,CITROEN,BERLINGO,,,false
27,24,JWCG46,TOYOTA,RAV 4 2018,,,false
28,25,LBGW68,FIAT,FIORINO CITY,,,false
29,26,BDGF81,NISSAN,TEERANO,,,false
30,27,PHZW60,JEEP,RENEGADE,,,false
31,28,BYBG94,NISSAN,NAVARA,,,false
32,29,JCRX53,MERCEDES BENZ,GLC250,,,false
33,30,JDKL76,HYUNDAI,H100,,,false
34,19,TTJJ22,CITROEN,BERLINGO XL,,,false
35,19,PBGR49,CITROEN,BERLINGO 1.6HDI,,,true
36,31,BBTG28,CHEVROLET,DMAX,,,false
37,32,JYJK14,PEUGEOT,BERLINGO,,,true
38,33,HRGW10,CHEVROLET,SAIL,,,false
